Modules,Test Case ID,Test Case,Expected Result,Actual Result,Status,Performed Date
,TC_26,Verify that the bulk actions performed in one shop are executed only for that specific shop and do not affect or trigger bulk actions in any other connected shops.,Bulk edit should run and complete only for that store.,Same as expected,Pass,02/22/2026
,TC_27,Verify that the publish/update action performed in one shop are executed only for that specific shop and do not get published in any other connected shops.,Product publish/update should not take effect in other shops,Same as expected,Pass,02/22/2026
,TC_28,"Verify that the “Assign Profile” action is performed only for the selected store, and the assigned profile reflects correctly for that store without impacting any other connected stores.",The assigned profile should reflect only for that store and not apply elsewhere.,Same as expected,Pass,02/22/2026
,TC_29,Verify export/import csv action.,CSV import/export should execute successfully and apply only to the selected store.,Same as expected,Pass,02/22/2026
,TC_30,"Verify that the linking and unlinking actions are performed only for the selected store, and the linking/unlinking reflects correctly for that store without impacting any other connected stores.",Linked/unlinked products should be affected only for the selected shop.,Same as expected,Pass,02/22/2026
,TC_31,Verify if seller wants to upload specific products to etsy (category-wise).,Only selected category products should upload to Etsy.,,,02/22/2026
,TC_32,Verify if seller wants to upload the same products to every shop.,"If seller chooses all shops, the selected products should upload to all connected Etsy shops",Same as expected,Pass,02/22/2026
,TC_33,"Verify when 'sync from etsy' action is performed, the action is triggered successfully for specific store without any error.",Sync activity should trigger successfully for the selected shop only.,Same as expected,Pass,02/22/2026
,TC_34,"Verify that when a seller deletes an active product from shopify account, the product should correctly move to the “Delete from Shopify” tab for all the accounts.","Product deleted from shopify should move to the ""delete from shopify"" tab in all the shops. ",Same as expected,Pass,02/22/2026
,TC_35,Verify the custom grid action is performed for one specific store unaffecting other stores.,The action should only affect the selected store without triggering other stores.,Same as expected,Pass,02/22/2026
,TC_36,"Verify that when a new profile is created through the product grid, the profile is successfully created and automatically assigned to the selected product(s) within the same store, without affecting any other connected stores.",Created profile should attach only to selected store’s product(s).,Same as expected,Pass,02/22/2026
,TC_37,"Verify when a single product is published from a specific store, it stays unpublsihed in other connected stores/accounts.",Product should remain unpublished for other stores.,Same as expected,Pass,02/22/2026
,TC_38,"Verify that the account switcher in the product grid functions correctly by allowing the user to easily switch between multiple connected accounts, and also provides the option to add / create another account from the same switcher without any interruptions or UI issues.",Switcher should switch accounts correctly and include Add/Create account option.,Same as expected,Pass,02/22/2026
,TC_39,,,,,
,TC_40,,,,,
Profile,TC_41,"Verify that when a profile is created for one store, it is visible and accessible only within that specific store, without appearing in or affecting any other connected stores.",Profile visibility restricted to own store only.,Same as expected,Pass,02/21/2026
,TC_42,"Verify that when any template (Shipping, Inventory, Price, Policy, Shop Section, Processing Profile) is created while profiling for one store, it should be visible and accessible only within that specific store, and should not appear in or affect any other connected stores.",Shipping / Inventory / Price / Policy / Shop Section / Processing Profile should remain restricted to the selected store.,Same as expected,Pass,02/21/2026
,TC_43,"Verify that the product condition applied for a category is reflected only in the specific store where it is configured, and does not apply to or impact the same category in any other connected stores.",Other shops should not inherit the condition.,Same as expected,Pass,02/21/2026
,TC_44,"erify that when a profile is deleted in a specific store, the deletion should apply only to that store and should not remove or impact the same profile in any other connected stores.",Other shops must remain unaffected.,Same as expected,Pass,02/21/2026
,TC_45,"Verify that when a profile is enabled or disabled in a specific store, the change should apply only within that store and should not affect the profile status in any other connected stores.",No status changes in other stores.,Same as expected,Pass,02/21/2026
,TC_46,"Verify that the account switcher in the profile grid functions correctly by allowing the user to easily switch between multiple connected accounts, and also provides the option to add / create another account from the same switcher without any interruptions or UI issues.",Switching should redirect correctly and provide add-account option.,Same as expected,Pass,02/21/2026
Templates,TC_47,Verify that fetch shipping template action retrieves data only for the selected store and does not affect or override data in any other connected stores.,Other stores’ templates must remain unaffected.,Same as expected,Pass,02/21/2026
,TC_48,Verify that create action creates the shipping template only for the selected store and should not appear in or impact any other connected stores.,New template should not appear anywhere else.,Same as expected,Pass,02/21/2026
,TC_49,Verify that create action creates the inventory template only for the selected store and should not appear in or impact any other connected stores.,Inventory templates remain isolated.,Same as expected,Pass,02/21/2026
,TC_50,Verify that create action creates the price template only for the selected store and should not appear in or impact any other connected stores.,Price templates remain isolated.,Same as expected,Pass,02/21/2026
,TC_51,Verify that fetch policy template action retrieves data only for the selected store and does not affect or override data in any other connected stores.,Policy data should not override or fetch for other stores.,Same as expected,Pass,02/21/2026
,TC_52,Verify that create action creates the policy template only for the selected store and should not appear in or impact any other connected stores.,Policy templates remain isolated.,Same as expected,Pass,02/21/2026
,TC_53,Verify that fetch shop section action retrieves data only for the selected store and does not affect or override data in any other connected stores.,Other stores should not get affected.,Same as expected,Pass,02/21/2026
,TC_54,Verify that create action creates the shop section template only for the selected store and should not appear in or impact any other connected stores.,Shop section remains isolated.,Same as expected,Pass,02/21/2026
,TC_55,Verify that fetch production partner action retrieves data only for the selected store and does not affect or override data in any other connected stores.,No impact on other stores.,Same as expected,Pass,02/21/2026
,TC_56,Verify that fetch processing profile action retrieves data only for the selected store and does not affect or override data in any other connected stores.,Other stores should not get overwritten.,Same as expected,Pass,02/21/2026
,TC_57,Verify that create action creates the processing profile only for the selected store and should not appear in or impact any other connected stores.,Processing profiles remain isolated.,Same as expected,Pass,02/21/2026
,TC_58,"Verify that the account switcher in the every template grid functions correctly by allowing the user to easily switch between multiple connected accounts, and also provides the option to add / create another account from the same switcher without any interruptions or UI issues.",Switching works smoothly + add-account button present.,Same as expected,Pass,02/21/2026
Pinterest,TC_59,"Verify that when a seller creates a Pin from the Pinterest tab for one store, the Pin is successfully created only for that specific store and does not affect or appear in any other connected stores.",Pin appears only in that store.,Not implemented yet.,,
,TC_60,"Verify that when a seller publishes a Pin from the Pinterest tab for one store, the Pin is successfully published only for that specific store and does not affect or appear in any other connected stores.",Pin remains unpublished in others.,Not implemented yet.,,
,TC_61,"Verify that when a seller deletes a Pin from the Pinterest tab for one store, the Pin is successfully deleted only for that specific store and does not affect or appear in any other connected stores.",Pin remains visible in other stores.,Not implemented yet.,,
,TC_62,Verify that fetch pins action retrieves data only for the selected store and does not affect or override data in any other connected stores.,No override for other accounts.,Not implemented yet.,,
,TC_63,"Verify that when a seller creates or fetches a board from the Pinterest tab for one store, the action is applied only to that specific store and does not affect or appear in any other connected stores.",Boards must stay isolated.,Not implemented yet.,,
,TC_64,"Verify that when a seller publishes a board from the Pinterest tab for one store, the action is applied only to that specific store and does not affect or appear in any other connected stores.",Published boards should not appear in other shops.,Not implemented yet.,,
,TC_65,"Verify that when a seller deletes a board from the Pinterest tab for one store, the action is applied only to that specific store and does not affect or appear in any other connected stores.",Board should not be deleted elsewhere.,Not implemented yet.,,
Activity,TC_66,"Verify that any activity performed (such as product update, profile assignment, template creation, or Pinterest actions) is triggered only for the store where the action is initiated and does not affect or execute in any other connected stores.",No executions or triggers should run for other stores.,Activities are not working account wise.,Fail,02/22/2026
Settings,TC_67,"Verify that in manage account section, all the connected accounts are displayed properly.",All shop names should appear correctly in the Accounts list.,Same as expected,Pass,02/22/2026
,TC_68,"Verify that ""set as primary"" and ""disable"" button are working properly.",Primary assignment + disable action should operate as intended.,Same as expected,Pass,02/22/2026
,TC_69,Verify that the disabled accounts can be enabled again.,Enable button should activate the store successfully.,Same as expected,Pass,02/22/2026
,TC_70,Verify that the primary account cannot be disabled. ,Disable button should be hidden/grayed out for primary.,Same as expected,Pass,02/22/2026
,TC_71,Verify that non-primary accounts can be disbaled. ,Disable button should function for non-primary shops.,Same as expected,Pass,02/22/2026
,TC_72,"Verify that when an account is disabled then a ""delete account"" button appears to disconnect the shop in admin panel.",Disconnect button must appear for disabled accounts in admin panel.,Same as expected,Pass,02/22/2026
,TC_73,Verify that disabled accounts can be disconnected properly. ,Disconnect completion should remove access for that shop,Same as expected,Pass,02/22/2026
,TC_74,"Verify when the user disconnects the current account, then he is getting redirected to the primary account or not.",User should be switched automatically to the primary store.,Same as expected,Pass,02/22/2026
,TC_75,Verify that the data of disconnected account is also removed and unaccessible.,"No dashboard, data, or activity should remain for that shop.",Same as expected,Pass,02/22/2026
,TC_76,Verify that the disabled accounts cannot be selected or interacted with in the account switcher.,Disabled stores should be non-interactive and unclickable.,Same as expected,Pass,02/22/2026
,TC_77,Verify that the disconnected account is removed from the list of connected accounts also from the switcher.,It should not appear anywhere in the UI.,Same as expected,Pass,02/22/2026
,TC_78,Verify that the non-primary accounts can be set as primary anytime according to the user's requirement and the button works accurately.,New primary selection should update successfully.,Same as expected,Pass,02/22/2026
,TC_79,Verify that the primary account have a tag or label explicitly showing “Primary”.,"A visible ""Primary"" badge should appear beside the account.",Same as expected,Pass,02/22/2026
,TC_80,"Verify that the Product Details Sync Settings work independently for each connected account (title, description, price, inventory, weight, etc)",Title/description/price/inventory/weight should sync only to the selected store.,Same as expected,Pass,02/22/2026
,TC_81,Verify that the auto product import setting work for each connected account.,Auto-import should run for all the shops.,Same as expected,Pass,02/22/2026
,TC_82,Verify that the etsy setting are working independently for each connected account. ,Any Etsy configuration should affect only the selected store.,Same as expected,Pass,02/22/2026
,TC_83,"Verify that converted currency is displayed according to the connected shops (dollar for US shop, INR for Indian shop).",Converted currency should be displayed correctly in each store.,Same as expected,Pass,02/22/2026
,TC_84,,,,,
,TC_85,Verify that the order management settings is independent in every connected shop.,Orders should sync and process only for the shop they belong to.,Same as expected,Pass,
,TC_86,Verify that the notification in settings is independent in every connected shop.,Notifications apply only to the store where they are configured.,,,
Order,TC_87,Place an order from one specific shop and verify that the order is not placed or reflected in other connected shops,Order should be placed and visible only in the selected shop; no order/activity should reflect or trigger in any other shop,Same as expected.,Pass,02/22/2026
,TC_88,Cancel an order from one specific shop and verify that the same order does not get cancelled in other connected shops,Order should be cancelled only in the selected shop and should not show cancelled status in any other shop,Same as expected.,Pass,02/22/2026
,TC_89,Initiate a refund from one specific shop and verify that refund is not initiated/reflected in other connected shops,Refund should be initiated only in the selected shop; no refund trigger or status change should occur in other shops,Same as expected.,Pass,02/22/2026
,TC_90,Verify the display of All orders grid per Etsy shop,"All Orders grid should display correct records and columns only for the selected Etsy shop, and orders must update correctly when switching shops.",Same as expected.,Pass,02/22/2026
,TC_91,Verify Order Value column,Order Value should reflect the amount for orders of the selected Etsy shop only.,Same as expected.,Pass,02/22/2026
,TC_92,Verify Status column,Order Status should appear accurately per Etsy shop.,Same as expected.,Pass,02/22/2026
,TC_93,Verify Order SKU column,Order SKU should list product SKUs for orders belonging to the selected shop only. (Item order mapping),Same as expected.,Pass,02/22/2026
,TC_94,Verify Created At column,Created At column should show the timestamp of the order for the selected Etsy shop only.,Same as expected.,Pass,02/22/2026
,TC_95,Verify select multiple orders using checkboxes,Checkboxes must select orders of the current Etsy shop only; selections should clear when switching shops.,Same as expected.,Pass,02/22/2026
,TC_96,Verify search by Etsy receipt ID,Search results should show matching order for the selected shop only.,Same as expected.,Pass,02/22/2026
,TC_97,Verify filtering by Order Status,Orders matching status should show correctly per shop.,Under discussion,,02/22/2026
,TC_98,Verify filtering by Shopify Order ID,Only orders belonging to that Etsy shop should appear.,Same as expected.,Pass,02/22/2026
,TC_99,Verify filtering by Shopify Order Name,Should display the matching Shopify order name for that shop only.,Same as expected.,Pass,02/22/2026
,TC_100,Verify filtering by customer name,Only matching customers of selected Etsy shop should appear.,Same as expected.,Pass,02/22/2026
,TC_101,Verify filtering by Created At,Orders should be filtered within the context of the selected shop only.,Same as expected.,Pass,02/22/2026
,TC_102,Verify filtering by Created At App,Filter should work only on Created At App values for that shop.,Same as expected.,Pass,02/22/2026
,TC_103,Verify visibility of Bulk Fetch button,Fetch Orders in Bulk button must appear for each shop and operate independently.,Same as expected.,Pass,02/22/2026
,TC_104,Verify calendar display,Calendar should appear per shop and must reset when switching shops.,Same as expected.,Pass,02/22/2026
,TC_105,Verify filter,Only orders of the selected shop must be fetched; no cross-import.,Same as expected.,Pass,02/22/2026
,TC_106,Verify display of single fetch feature,Button must appear for every connected Etsy shop.,Same as expected.,Pass,02/22/2026
,TC_107,Verify popup display,Popup should appear separately per shop.,Same as expected.,Pass,02/22/2026
,TC_108,Verify fetching,Orders must be retrieved only from the Etsy shop being used.,Same as expected.,Pass,02/22/2026
,TC_109,Verify validation,Error should appear only in that shop’s popup & not affect other shops.,Same as expected.,Pass,02/22/2026
,TC_110,Verify validation,Proper error shows per shop individually.,Same as expected.,Pass,02/22/2026
,TC_111,Verify create order action,Shopify order should be created for orders belonging only to the selected Etsy shop.,Same as expected.,Pass,02/22/2026
,TC_112,Verify inventory deduction,Inventory should be deducted from shopify and should get updated to all the connected active shops.,Same as expected.,Pass,02/22/2026
,TC_113,Verify CSV export,Export should contain only orders of the active Etsy shop.,Same as expected.,Pass,02/22/2026
,TC_114,Verify mapping section,Carrier mapping option should display independently for every shop and mapping should be done independently too.,Same as expected.,Pass,02/22/2026
,TC_115,Verify grid,Carrier list should show mappings relevant only to the selected Etsy shop.,Same as expected.,Pass,02/22/2026
,TC_116,Verify add carrier mapping,Mapping should save only for that shop and not reflect in other shops.,Same as expected.,Pass,02/22/2026
,TC_117,Create an order on Shopify for a product synced with all 3 Etsy shops,Inventory should be deducted on Shopify and updated across all 3 connected Etsy shops,Same as expected.,Pass,02/22/2026
,TC_118,Create an order on Etsy Shop 1 for a synced product,Inventory should be deducted on Etsy Shop 1 and reflected on Shopify and remaining Etsy shops,Same as expected.,Pass,02/22/2026
,TC_119,Create simultaneous orders on Shopify and Etsy Shop 2 for the same product,Inventory should deduct correctly without mismatch or negative stock,Same as expected.,Pass,02/22/2026
,TC_120,Create an order on Etsy Shop 3 for a product with low inventory,Inventory should deduct correctly and sync updated stock across all connected accounts,Same as expected.,Pass,02/22/2026
,TC_121,Create an order on Shopify for a variant product synced with Etsy shops,Correct variant inventory should be deducted across all shops,Same as expected.,Pass,02/22/2026
,TC_122,Create multiple quantity order on Etsy Shop 1,Ordered quantity should be deducted accurately across Shopify and all Etsy shops,Same as expected.,Pass,02/22/2026
,TC_123,Create an order for a product that is only synced with Shopify and Etsy Shop 2,Inventory should deduct only in synced accounts and not impact other Etsy shops,Same as expected.,Pass,02/22/2026
,TC_124,Cancel an order after inventory deduction,Inventory should be restored and synced across all connected shops,Same as expected.,Pass,02/22/2026
,TC_125,Partially refund an order,Only refunded quantity inventory should be restored and synced across all accounts,Same as expected.,Pass,02/22/2026
,TC_126,Create order when one Etsy shop is disconnected,Inventory should deduct only in active connected shops and not trigger errors,Same as expected.,Pass,02/22/2026
,TC_127,Create an order having stock in just one shop and 0 quantity in other shops.,Order should get created if that specific shop has stock and other shops do not contain.,Same as expected.,Pass,02/22/2026
,TC_128,Create order for out-of-stock product from one Etsy shop,Order should be restricted or handled based on inventory rules without causing mismatch in other shops,Same as expected.,Pass,02/22/2026
,TC_129,Verify Order Add-on visibility for multi-account setup,Order Add-on option is visible and configurable for all connected Etsy accounts,Same as expected.,Pass,02/22/2026
,TC_130,Enable Order Add-on for only one Etsy shop,Order Add-on is applied for all the connected shops.,Same as expected.,Pass,02/22/2026
,TC_131,Create order in Etsy A with Order Add-on enabled,Order is created in Shopify with add-on charges applied correctly,Same as expected.,Pass,02/22/2026
,TC_132,Create order in Etsy B where Order Add-on is disabled,Order syncs to Shopify without any add-on charges,Same as expected.,Pass,02/22/2026
,TC_133,"Create simultaneous orders from Etsy A, B, and C",Orders are synced correctly with add-on logic applied per respective Etsy shop,Same as expected.,Pass,02/22/2026
,TC_134,Verify add-on price calculation per Etsy shop,Add-on charges are calculated correctly based on each shop’s configuration,Same as expected.,Pass,02/22/2026
,TC_135,Disable Order Add-on after it was previously enabled,New incoming orders do not include add-on charges; existing orders remain unchanged,Same as expected.,Pass,02/22/2026
,TC_136,Verify order count accuracy with Order Add-on enabled,Order count reflects actual orders without duplication across accounts,Same as expected.,Pass,02/22/2026
,TC_137,Delete an Etsy shop with Order Add-on enabled,Order Add-on settings for deleted shop are removed without impacting other shops,Same as expected.,Pass,02/22/2026
,TC_138,Disconnect and reconnect an Etsy shop,Order Add-on settings reset or restore as per system design without data leakage,Same as expected.,Pass,02/22/2026
Pricing ,TC_139,Subscribe to a pricing plan for primary account with multiple connected Etsy shops,Selected pricing plan should apply to primary account and reflect correctly for all linked shops as per plan rules,Same as expected.,Pass,02/22/2026
,TC_140,Upgrade pricing plan from lower to higher tier in multi-account setup,Plan should upgrade successfully and updated limits/features should reflect across all connected accounts,Same as expected.,Pass,02/22/2026
,TC_141,Downgrade pricing plan in multi-account setup,Plan should downgrade successfully only if the limits are not exceeded then only the updated limits/features should apply across all connected accounts,Same as expected.,Pass,02/22/2026
,TC_142,Verify product/listing limits after connecting additional Etsy shops under same plan,System should follow pricing plan limits and restrict additional listings if limits are exceeded,Same as expected.,Pass,02/22/2026
,TC_143,Subscribe to plan and then connect additional Etsy shop,Newly connected shop should follow existing pricing plan restrictions and features,Same as expected.,Pass,02/22/2026
,TC_144,Disconnect one Etsy shop from multi-account setup,Pricing plan should remain active and adjust usage count accordingly,Same as expected.,Pass,02/22/2026
,TC_145,Verify pricing plan feature access across all connected accounts,All plan-enabled features should be accessible across linked accounts as per plan scope,Same as expected.,Pass,02/22/2026
,TC_146,Expire pricing plan for multi-account setup,Plan expiry should restrict features and listing capabilities across all connected accounts,Same as expected.,Pass,02/22/2026
,TC_147,Renew expired pricing plan,Plan should activate again and restore features across all connected shops,Same as expected.,Pass,02/22/2026
,TC_148,Verify billing when multiple Etsy shops are connected,Billing should follow configured pricing model (per account / combined usage) correctly,Same as expected.,Pass,02/22/2026
,TC_149,Attempt to exceed listing/product limit using different Etsy shops,System should restrict listings once plan limit is reached across multi-accounts,Same as expected.,Pass,02/22/2026
,TC_150,Change pricing plan during active listings across multiple accounts,Existing listings should remain intact and new limits should apply correctly,Same as expected.,Pass,02/22/2026
,TC_151,Subscribe to plan via Shopify billing and verify impact on connected Etsy shops,Plan should sync correctly and features should activate across Etsy shops,Same as expected.,Pass,02/22/2026
,TC_152,Cancel subscription from primary account,Pricing plan should be cancelled and feature restrictions should apply across all connected shops,Same as expected.,Pass,02/22/2026
,TC_153,Verify pricing plan when one connected shop is deactivated,Plan should remain active and usage count should adjust without impacting active shops,Same as expected.,Pass,02/22/2026
